model,params,best_lr,best_local_epochs,best_batch_size,optimizer,momentum,best_trial_acc,top3_trial_2_acc,top3_trial_3_acc,num_trials,phase1_10k_iid_acc
SqueezeNet,1.2M,0.005612,5,32,sgd,0.9,63.8%,62.2%,61.6%,11,62.4%
MobileNetV3,2.5M,0.029106,3,32,sgd,0.9,63.3%,62.9%,61.1%,10,61.5%
ResNet18,11.2M,0.046226,2,32,sgd,0.9,66.8%,66.2%,65.0%,10,69.0%
