model,best_lr,best_local_epochs,best_batch_size,optimizer,momentum,weight_decay,best_trial_acc_10k,phase1_10k_iid_acc,phase1_50k_iid_acc,num_trials
SqueezeNet,0.005612,5,32,sgd,0.9,0.0,63.8%,62.4%,80.3%,11
MobileNetV3,0.029106,3,32,sgd,0.9,0.0,63.3%,61.5%,78.7%,10
ResNet18,0.046226,2,32,sgd,0.9,0.0,66.8%,69.0%,85.0%,10
